run,window,elapsed_s,n_ok,loss,min_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_ms
after-v1.2.2,43,430.0,50,0,3.646,4.994,51.463,75.337,75.337,10.601
after-v1.2.2,44,440.0,50,0,3.653,4.733,66.384,80.411,80.411,11.76
after-v1.2.2,45,450.0,50,0,3.661,5.27,70.031,83.437,83.437,13.486
after-v1.2.2,46,460.0,50,0,3.59,5.52,243.406,359.196,359.196,34.662
after-v1.2.2,47,470.0,50,0,3.708,4.729,70.056,134.695,134.695,15.924
after-v1.2.2,48,480.0,50,0,3.771,5.4,74.633,125.546,125.546,16.685
after-v1.2.2,49,490.0,50,0,3.586,5.066,73.85,126.267,126.267,16.844
after-v1.2.2,50,500.0,50,0,3.617,4.962,60.327,73.739,73.739,11.087
after-v1.2.2,51,510.0,50,0,3.691,5.315,55.676,78.912,78.912,11.986
after-v1.2.2,52,520.0,50,0,3.764,7.256,1837.583,2154.565,2154.565,417.957
after-v1.2.2,53,530.0,50,0,3.716,4.805,63.714,72.81,72.81,11.179
after-v1.2.2,54,540.0,50,0,3.627,5.946,62.641,65.312,65.312,12.791
after-v1.2.2,55,550.0,50,0,3.636,5.021,51.544,69.71,69.71,10.861
after-v1.2.2,56,560.0,50,0,3.57,4.658,53.511,61.332,61.332,9.714
after-v1.2.2,57,570.0,50,0,3.562,4.846,67.623,77.609,77.609,11.619
after-v1.2.2,58,580.0,50,0,3.716,4.424,42.79,61.336,61.336,8.478
after-v1.2.2,59,590.0,50,0,3.657,4.77,53.973,73.119,73.119,10.249
after-v1.2.2,60,600.0,50,0,3.69,5.421,61.434,72.68,72.68,12.579
after-v1.2.2,61,610.0,50,0,3.517,4.523,61.071,71.741,71.741,11.163
after-v1.2.2,62,620.0,50,0,3.506,4.843,70.997,79.256,79.256,13.625
after-v1.2.2,63,630.0,50,0,3.587,4.892,48.637,53.518,53.518,9.881
after-v1.2.2,64,640.0,50,0,3.543,4.177,49.599,78.158,78.158,10.464
after-v1.2.2,65,650.0,50,0,3.685,5.534,51.664,68.455,68.455,10.835
after-v1.2.2,66,660.0,50,0,3.551,4.104,51.006,65.792,65.792,9.673
